title	label
1. 차량 외부를 촬영하는 카메라부;무선 AP(Access Point)를 통해 차량 내부에 있는 적어도 하나의 모바일 단말에 방송 가입 요청 메시지를 송신하여 상기 적어도 하나의 모바일 단말로부터 방송 가입 응답 메시지를 수신하고, 상기 방송 가입 응답 메시지에 따라 방송 가입자 리스트를 갱신하여 상기 방송 가입자 리스트에 포함된 모바일 단말에 방송 스트림 전파를 해독하기 위한 전파 식별 코드를 송신하는 방송 가입자 관리부; 및상기 카메라부에서 촬영된 동영상을 상기 방송 스트림 전파로 변환하여 상기 무선 AP를 통해 상기 적어도 하나의 모바일 단말에 상기 동영상을 송출하는 방송 관리부를 포함하는 차량용 블랙박스 장치.	0
본 발명은 통신에 연루된 사용자들의 이동국들에서 무선채널부분의 모니터링이 수행되는, 패킷교환연결을 통한 이동통신망에서의 비디오 통신 서비스에 관한 것이다. 비디오 통신의 파라미터들(예컨대, 코딩속도)은 무선채널부분을 모니터링한 결과를 기초로 하여 조절된다.	1
ＷＩＭＡＸ 네트워크 기반의 애드 혹 그룹 방송 서비스 시스템, ＷＩＭＡＸ 네트워크 기반의 애드 혹 그룹 방송 서비스를 위한 애드 혹 그룹 관리자 등록 방법 및 ＷＩＭＡＸ 네트워크 기반의 애드 혹 그룹 방송 서비스 방법	0
본 발명은 머신형 통신(MTC)에서 멀티미디어 브로드캐스트/멀티캐스트 서비스(MBMS)에 기초한 콘텐트 전송의 방법 및 장치를 개시한다. BM-SC는 MTC 서버로부터 세션 시작 시간을 수신하고; 세션 시작 시간을 포함하는 서비스 어나운스먼트를 복수의 MTC 디바이스들로 전송하고; 세션 시작 시간에 도달될 때 복수의 MTC 디바이스들에 대한 MBMS 베어러들을 확립하기 시작하고; MTC 서버로부터의 MTC 서비스 콘텐트들을 MBMS 베어러들을 통해 복수의 MTC 디바이스들로 전송한다. MTC 디바이스는 세션 시작 시간을 포함하는 서비스 어나운스먼트를 수신하고; 세션 시작 시간에 도달될 때, MBMS 베어러들에 관한 통보를 수신하기 위해 웨이크 업하고; 그 후에 MBMS 베어러들을 통해 전송되는 MTC 서비스 콘텐트들을 수신한다.	1
콘텐츠 배포 및 수신 방법 및 장치	1
1. 발명은 상술한 문제점을 해결하기 위하여 안출된 것으로서, 디지털 오디오 방송수신장치와 스마트기기를 상호 연동시킴으로써 스마트기기를 이용하여 디지털 오디오 방송수신 장치를 제어하고 방송데이터에 포함된 데이터를 스마트기기를 통해 저장 및 활용할 수 있도록 하는 스마트기기 상에서 제어가 가능한 디지털 오디오 방송 수신 시스템 및 이의 제어 방법을 제공하는데 그 기술적 과제가 있다.	0
무선통신시스템에 사용되는 일대다 ＭＢＭＳ 처리방법 및장치	0
브로드캐스트 시스템에서 데이터 네트워킹을 지원하는 방법에 있어서, (A) 제1무선 스테이션에 의해 브로드캐스트 시스템과 관련된 복수의 브로드캐스트 채널들을 정하는 단계; (B) 각각이 상기 복수의 브로드캐스트 채널들 중 관련된 브로드캐스트 채널에 상응하는 것으로서 제2무선 스테이션에 의해 측정되는, 관련 간섭 수준들의 수신 집합을 얻는 단계; (C) 제1무선 스테이션에 의해, 제2무선 스테이션으로 데이터를 전송할 전송 전력 레벨을 결정하는 단계; (D) 상기 복수의 브로드캐스트 채널들 중 하나를 선택하는 단계; 및 (E) 제2무선 스테이션 및 제1무선 스테이션 사이에서, 상기 복수의 브로드캐스트들 중 상기 하나를 통해 상기 전송 전력 레벨로서 데이터를 전송하는 단계를 포함함을 특징으로 하는 방법.	0
광대역 무선 접속 시스템에서 단말이 멀티캐스트 및 브로드캐스트 서비스(Multicast and Broadcast Service : 이하 'MBS'라 칭함)를 위한 매핑 테이블을 수신하는 방법에 있어서, MAC 계층 네임 태그(MAC layer name tag) 혹은 IP 계층 네임 태그(IP layer name tag) 대(vs) 상위 계층 네임 태그의 매핑 테이블의 수신이 요청될 시, 유니캐스트 플로우(Unicast flow)를 통해 MBS 콘텐츠 서버로 MAC 계층 네임 태그 혹은 IP 계층 네임 태그(IP layer name tag) 대(vs) 상위 계층 네임 태그의 매핑 테이블 요청 메시지를 전송하는 과정과, 상기 MBS 콘텐츠 서버로부터 상기 유니캐스트 플로우를 통해 상기 단말이 속한 MBS 존 혹은 해당 단말(혹은 사용자)에 허용되는 모든 MBS 존들에 해당하는 MAC 계층 네임 태그 혹은 IP 계층 네임 태그(IP layer name tag) 대(vs) 상위 계층 네임 태그의 매핑 테이블을 포함하는 MAC 계층 네임 태그 혹은 IP 계층 네임 태그(IP layer name tag) 대(vs) 상위 계층 네임 태그의 매핑 테이블 응답 메시지를 수신하는 과정을 포함하는 것을 특징으로 하는 방법.	1
1. 발명의 목적은 광대역 무선 접속 시스템에서 서비스 가이드 전달 장치 및 방법을 제공함에 있다.2. 발명의 다른 목적은 광대역 무선 접속 시스템에서 방송 채널에 대한 MAC 계층 네임 태그(MAC layer name tag) 혹은 IP 계층 네임 태그(IP layer name tag) 대(vs) 상위 계층 네임 태그의 방송 채널 매핑 테이블(MBS CHANNEL MAPPING TABLE) 혹은 방송 편성표(TABLE OF BROADCASTING) 혹은 인증 정보(AUTHENTICATION INFORMATION)의 조합으로 구성되는 서비스 가이드 전달 장치 및 방법을 제공함에 있다.3. 발명의 다른 목적은 광대역 무선 접속 시스템에서 단말이 어웨이크(awake) 상태를 유지하여야 하는 여러 가지 발생 원인을 없앰으로써, 단말이 어웨이크(awake)로 있을 때의 단점인 주기적인 상향링크 전송으로 인한 파워 낭비와 시그널링(signaling)에 필요한 에어 자원(air resource)의 낭비를 막을 수 있는 서비스 가이드 전달 장치 및 방법을 제공함에 있다.4. 발명의 다른 목적은 광대역 무선 접속 시스템에서 멀티캐스트 브로드캐스트 플로우(Multicast Broadcast flow) 혹은 유니캐스트 플로우(Unicast flow)로 서비스 가이드를 전달하기 위한 장치 및 방법을 제공함에 있다.	0
